resource_name;shelf_life_days
artichoke;7
aubergine;7
carrot;200
fig;30
apple;250
chicory;5
cherry;14
pineapple;20
papaya;10
pumpkin;60
potato;120
tomato;5
spinach;10
blueraspberry;7
melon;14
celery;60
onion;180
zuchini;7
grapefruit;7
strawberry;5
grape;35
kiwi;7
lettuce;14
tangerine;7
chilipepper;7
date;7
lemon;7
pear;150
watermelon;14
sweetpepper;7
avocado;7
orange;7
garlic;7
medlar;7
apricot;7
blueberry;7
parsley;7
pomegranate;7
raspberry;2
olive;30
mango;7
cucumber;10
caper;7
coconut;30
blackcherry;7
radish;21
banana;5
persimmon;7
fishing;7
